"","ItinID","Coupons","Year","Quarter","Origin","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","OriginCountry","OriginStateFips","OriginState","OriginStateName","OriginWac","RoundTrip","OnLine","DollarCred","FarePerMile","RPCarrier","Passengers","ItinFare","BulkFare","Distance","DistanceGroup","MilesFlown","ItinGeoType"
"1",200118,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.0573,"AA",1,204,0,3558,8,3558,2
"2",200119,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.1105,"AA",1,360,0,3255,7,3255,2
"3",2001110,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0,"AA",1,0,0,3960,8,3647,2
"4",2001111,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0843,"AA",1,331,0,3926,8,3926,2
"5",2001112,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.4913,"AA",1,970,0,1974,4,1974,2
"6",2001113,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0,"AA",1,0,0,1974,4,1974,2
"7",2001114,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.116,"AA",1,229,0,1974,4,1974,2
"8",2001115,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0574,"AA",1,227,0,3948,8,3948,2
"9",2001116,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0721,"AA",1,285,0,3948,8,3948,2
"10",2001117,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0747,"AA",1,295,0,3948,8,3948,2
"11",2001118,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0797,"AA",2,315,0,3948,8,3948,2
"12",2001119,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0848,"AA",1,335,0,3948,8,3948,2
"13",2001120,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0904,"AA",1,357,0,3948,8,3948,2
"14",2001121,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0997,"AA",1,394,0,3948,8,3948,2
"15",2001122,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1005,"AA",2,397,0,3948,8,3948,2
"16",2001123,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1279,"AA",1,505,0,3948,8,3948,2
"17",2001124,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.2102,"AA",1,830,0,3948,8,3948,2
"18",2001125,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.1098,"AA",1,478,0,4350,9,4350,2
"19",2001126,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0,"AA",1,0,0,4310,9,4310,2
"20",2001127,5,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0,"AA",1,0,0,4321,9,4321,2
"21",2001128,6,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.1359,"AA",1,600,0,4412,9,4412,2
"22",2001129,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0523,"AA",2,215,0,4105,9,4105,2
"23",2001130,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0628,"AA",1,258,0,4105,9,4105,2
"24",2001131,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0774,"AA",1,318,0,4105,9,4105,2
"25",2001132,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0911,"AA",1,374,0,4105,9,4105,2
"26",2001133,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0974,"AA",1,400,0,4105,9,4105,2
"27",2001134,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1222,"AA",1,502,0,4105,9,4105,2
"28",2001135,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1237,"AA",2,508,0,4105,9,4105,2
"29",2001136,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.3524,"AA",1,1447,0,4105,9,4105,2
"30",2001137,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.456,"AA",1,1872,0,4105,9,4105,2
"31",2001138,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.124,"AA",1,512,0,4128,9,4128,2
"32",2001141,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.046,"AA",1,196,0,4254,9,4254,2
"33",2001142,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,0,1,0.519,"AA",1,1633,0,3146,7,3146,2
"34",2001147,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0525,"AA",1,208,0,3959,8,3959,2
"35",2001148,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1283,"AA",1,508,0,3959,8,3959,2
"36",2001149,5,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.1751,"AA",1,817,0,4665,10,4665,2
"37",2001152,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.0525,"AA",1,193,0,3675,8,3675,2
"38",2001153,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.0899,"AA",1,248,0,2757,6,2757,2
"39",2001154,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.1208,"AA",1,380,0,3145,7,3145,2
"40",2001155,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.5589,"AA",1,1020,0,1825,4,1825,2
"41",2001156,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.173,"AA",1,282,0,1630,4,1630,2
"42",2001157,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.086,"AA",1,142,0,1650,4,1650,2
"43",2001158,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0845,"AA",1,279,0,3300,7,3300,2
"44",2001159,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.0954,"AA",1,315,0,3300,7,3300,2
"45",2001160,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.079,"AA",1,268,0,3419,7,3389,2
"46",2001161,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1245,"AA",1,425,0,3411,7,3411,2
"47",2001162,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1832,"AA",1,625,0,3411,7,3411,2
"48",2001163,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.2421,"AA",1,826,0,3411,7,3411,2
"49",2001164,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.2274,"AA",1,969,0,4260,9,4260,2
"50",2001165,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.1252,"AA",1,235,0,1876,4,1876,2
"51",2001166,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.4829,"AA",1,497,0,1029,3,1029,2
"52",2001167,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.1421,"AA",1,240,0,1688,4,1688,2
"53",2001168,3,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,0,1,0.1228,"AA",1,174,0,1416,3,1416,2
"54",2001169,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.0713,"AA",1,196,0,2746,6,2746,2
"55",2001170,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.9068,"AA",1,516,0,569,2,569,2
"56",2001171,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,1.1001,"AA",1,626,0,569,2,569,2
"57",2001172,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,1.1933,"AA",5,679,0,569,2,569,2
"58",2001173,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,1.2864,"AA",1,732,0,569,2,569,2
"59",2001174,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0,"AA",1,0,0,569,2,569,2
"60",2001175,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.1054,"AA",1,60,0,569,2,569,2
"61",2001176,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.1195,"AA",1,68,0,569,2,569,2
"62",2001177,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.1353,"AA",1,77,0,569,2,569,2
"63",2001178,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.1511,"AA",1,86,0,569,2,569,2
"64",2001179,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.1616,"AA",1,92,0,569,2,569,2
"65",2001180,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.1775,"AA",15,101,0,569,2,569,2
"66",2001181,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.2021,"AA",1,115,0,569,2,569,2
"67",2001182,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.2179,"AA",1,124,0,569,2,569,2
"68",2001183,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.2319,"AA",1,132,0,569,2,569,2
"69",2001184,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.2355,"AA",1,134,0,569,2,569,2
"70",2001185,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.2442,"AA",1,139,0,569,2,569,2
"71",2001186,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.2565,"AA",5,146,0,569,2,569,2
"72",2001187,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.2583,"AA",4,147,0,569,2,569,2
"73",2001188,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.2776,"AA",1,158,0,569,2,569,2
"74",2001189,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.2829,"AA",2,161,0,569,2,569,2
"75",2001190,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.2934,"AA",1,167,0,569,2,569,2
"76",2001191,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.3339,"AA",1,190,0,569,2,569,2
"77",2001192,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.4692,"AA",2,267,0,569,2,569,2
"78",2001193,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.4956,"AA",1,282,0,569,2,569,2
"79",2001194,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.5149,"AA",5,293,0,569,2,569,2
"80",2001195,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.55,"AA",3,313,0,569,2,569,2
"81",2001196,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.8172,"AA",1,465,0,569,2,569,2
"82",2001197,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.8312,"AA",1,473,0,569,2,569,2
"83",2001198,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.847,"AA",1,482,0,569,2,569,2
"84",2001199,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,1.1528,"AA",1,656,0,569,2,569,2
"85",20011100,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.1862,"AA",1,106,0,569,2,569,2
"86",20011101,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.2847,"AA",1,162,0,569,2,569,2
"87",20011102,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.7486,"AA",1,426,0,569,2,569,2
"88",20011103,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,0.833,"AA",1,474,0,569,2,569,2
"89",20011104,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,1.1001,"AA",3,626,0,569,2,569,2
"90",20011105,1,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,0,1,1,1.1933,"AA",1,679,0,569,2,569,2
"91",20011106,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.2675,"AA",1,389,0,1454,3,1454,2
"92",20011107,4,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,0,1,0.2792,"AA",1,406,0,1454,3,1454,2
"93",20011108,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.8031,"AA",1,914,0,1138,3,1138,2
"94",20011109,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0,"AA",3,0,0,1138,3,1138,2
"95",20011110,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1001,"AA",1,114,0,1138,3,1138,2
"96",20011111,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1045,"AA",1,119,0,1138,3,1138,2
"97",20011112,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1089,"AA",1,124,0,1138,3,1138,2
"98",20011113,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1133,"AA",1,129,0,1138,3,1138,2
"99",20011114,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1151,"AA",2,131,0,1138,3,1138,2
"100",20011115,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1247,"AA",1,142,0,1138,3,1138,2
"101",20011116,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1265,"AA",1,144,0,1138,3,1138,2
"102",20011117,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1291,"AA",1,147,0,1138,3,1138,2
"103",20011118,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1318,"AA",1,150,0,1138,3,1138,2
"104",20011119,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1326,"AA",1,151,0,1138,3,1138,2
"105",20011120,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1344,"AA",1,153,0,1138,3,1138,2
"106",20011121,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1353,"AA",2,154,0,1138,3,1138,2
"107",20011122,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1397,"AA",5,159,0,1138,3,1138,2
"108",20011123,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1405,"AA",1,160,0,1138,3,1138,2
"109",20011124,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1414,"AA",3,161,0,1138,3,1138,2
"110",20011125,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1423,"AA",1,162,0,1138,3,1138,2
"111",20011126,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1441,"AA",2,164,0,1138,3,1138,2
"112",20011127,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1458,"AA",2,166,0,1138,3,1138,2
"113",20011128,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1467,"AA",3,167,0,1138,3,1138,2
"114",20011129,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1476,"AA",5,168,0,1138,3,1138,2
"115",20011130,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1485,"AA",1,169,0,1138,3,1138,2
"116",20011131,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1502,"AA",1,171,0,1138,3,1138,2
"117",20011132,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1528,"AA",1,174,0,1138,3,1138,2
"118",20011133,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1546,"AA",8,176,0,1138,3,1138,2
"119",20011134,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.159,"AA",2,181,0,1138,3,1138,2
"120",20011135,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1608,"AA",4,183,0,1138,3,1138,2
"121",20011136,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1625,"AA",79,185,0,1138,3,1138,2
"122",20011137,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1652,"AA",1,188,0,1138,3,1138,2
"123",20011138,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.166,"AA",1,189,0,1138,3,1138,2
"124",20011139,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1669,"AA",1,190,0,1138,3,1138,2
"125",20011140,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1731,"AA",2,197,0,1138,3,1138,2
"126",20011141,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1766,"AA",1,201,0,1138,3,1138,2
"127",20011142,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1783,"AA",2,203,0,1138,3,1138,2
"128",20011143,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1801,"AA",1,205,0,1138,3,1138,2
"129",20011144,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.181,"AA",1,206,0,1138,3,1138,2
"130",20011145,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.188,"AA",4,214,0,1138,3,1138,2
"131",20011146,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1942,"AA",1,221,0,1138,3,1138,2
"132",20011147,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.1977,"AA",1,225,0,1138,3,1138,2
"133",20011148,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.2003,"AA",3,228,0,1138,3,1138,2
"134",20011149,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.21,"AA",3,239,0,1138,3,1138,2
"135",20011150,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.2108,"AA",2,240,0,1138,3,1138,2
"136",20011151,2,2001,1,"ABQ",10140,1014001,30140,"US","35","NM","New Mexico",86,1,1,1,0.2188,"AA",6,249,0,1138,3,1138,2
