"ITIN_ID","ROUNDTRIP","ITIN_YIELD","PASSENGERS","ITIN_FARE","BULKFARE","DISTANCE_FULL","YEAR","QUARTER"
200118,1,0.0573,1,204,0,3558,2001,1
200119,1,0.1105,1,360,0,3255,2001,1
2001110,1,0,1,0,0,3960,2001,1
2001111,1,0.0843,1,331,0,3926,2001,1
2001112,0,0.4913,1,970,0,1974,2001,1
2001113,0,0,1,0,0,1974,2001,1
2001114,0,0.116,1,229,0,1974,2001,1
2001115,1,0.0574,1,227,0,3948,2001,1
2001116,1,0.0721,1,285,0,3948,2001,1
2001117,1,0.0747,1,295,0,3948,2001,1
2001118,1,0.0797,2,315,0,3948,2001,1
2001119,1,0.0848,1,335,0,3948,2001,1
2001120,1,0.0904,1,357,0,3948,2001,1
2001121,1,0.0997,1,394,0,3948,2001,1
2001122,1,0.1005,2,397,0,3948,2001,1
2001123,1,0.1279,1,505,0,3948,2001,1
2001124,1,0.2102,1,830,0,3948,2001,1
2001125,1,0.1098,1,478,0,4350,2001,1
2001126,1,0,1,0,0,4310,2001,1
2001127,1,0,1,0,0,4321,2001,1
2001128,1,0.1359,1,600,0,4412,2001,1
2001129,1,0.0523,2,215,0,4105,2001,1
2001130,1,0.0628,1,258,0,4105,2001,1
2001131,1,0.0774,1,318,0,4105,2001,1
2001132,1,0.0911,1,374,0,4105,2001,1
2001133,1,0.0974,1,400,0,4105,2001,1
2001134,1,0.1222,1,502,0,4105,2001,1
2001135,1,0.1237,2,508,0,4105,2001,1
2001136,1,0.3524,1,1447,0,4105,2001,1
2001137,1,0.456,1,1872,0,4105,2001,1
2001138,0,0.124,1,512,0,4128,2001,1
2001141,1,0.046,1,196,0,4254,2001,1
2001142,0,0.519,1,1633,0,3146,2001,1
2001147,1,0.0525,1,208,0,3959,2001,1
2001148,1,0.1283,1,508,0,3959,2001,1
2001149,1,0.1751,1,817,0,4665,2001,1
2001152,1,0.0525,1,193,0,3675,2001,1
2001153,1,0.0899,1,248,0,2757,2001,1
2001154,1,0.1208,1,380,0,3145,2001,1
2001155,0,0.5589,1,1020,0,1825,2001,1
2001156,0,0.173,1,282,0,1630,2001,1
2001157,0,0.086,1,142,0,1650,2001,1
2001158,1,0.0845,1,279,0,3300,2001,1
2001159,1,0.0954,1,315,0,3300,2001,1
2001160,1,0.079,1,268,0,3419,2001,1
2001161,1,0.1245,1,425,0,3411,2001,1
2001162,1,0.1832,1,625,0,3411,2001,1
2001163,1,0.2421,1,826,0,3411,2001,1
2001164,1,0.2274,1,969,0,4260,2001,1
2001165,1,0.1252,1,235,0,1876,2001,1
2001166,0,0.4829,1,497,0,1029,2001,1
2001167,1,0.1421,1,240,0,1688,2001,1
2001168,0,0.1228,1,174,0,1416,2001,1
2001169,1,0.0713,1,196,0,2746,2001,1
2001170,0,0.9068,1,516,0,569,2001,1
2001171,0,1.1001,1,626,0,569,2001,1
2001172,0,1.1933,5,679,0,569,2001,1
2001173,0,1.2864,1,732,0,569,2001,1
2001174,0,0,1,0,0,569,2001,1
2001175,0,0.1054,1,60,0,569,2001,1
2001176,0,0.1195,1,68,0,569,2001,1
2001177,0,0.1353,1,77,0,569,2001,1
2001178,0,0.1511,1,86,0,569,2001,1
2001179,0,0.1616,1,92,0,569,2001,1
2001180,0,0.1775,15,101,0,569,2001,1
2001181,0,0.2021,1,115,0,569,2001,1
2001182,0,0.2179,1,124,0,569,2001,1
2001183,0,0.2319,1,132,0,569,2001,1
2001184,0,0.2355,1,134,0,569,2001,1
2001185,0,0.2442,1,139,0,569,2001,1
2001186,0,0.2565,5,146,0,569,2001,1
2001187,0,0.2583,4,147,0,569,2001,1
2001188,0,0.2776,1,158,0,569,2001,1
2001189,0,0.2829,2,161,0,569,2001,1
2001190,0,0.2934,1,167,0,569,2001,1
2001191,0,0.3339,1,190,0,569,2001,1
2001192,0,0.4692,2,267,0,569,2001,1
2001193,0,0.4956,1,282,0,569,2001,1
2001194,0,0.5149,5,293,0,569,2001,1
2001195,0,0.55,3,313,0,569,2001,1
2001196,0,0.8172,1,465,0,569,2001,1
2001197,0,0.8312,1,473,0,569,2001,1
2001198,0,0.847,1,482,0,569,2001,1
2001199,0,1.1528,1,656,0,569,2001,1
20011100,0,0.1862,1,106,0,569,2001,1
20011101,0,0.2847,1,162,0,569,2001,1
20011102,0,0.7486,1,426,0,569,2001,1
20011103,0,0.833,1,474,0,569,2001,1
20011104,0,1.1001,3,626,0,569,2001,1
20011105,0,1.1933,1,679,0,569,2001,1
20011106,1,0.2675,1,389,0,1454,2001,1
20011107,1,0.2792,1,406,0,1454,2001,1
20011108,1,0.8031,1,914,0,1138,2001,1
20011109,1,0,3,0,0,1138,2001,1
20011110,1,0.1001,1,114,0,1138,2001,1
20011111,1,0.1045,1,119,0,1138,2001,1
20011112,1,0.1089,1,124,0,1138,2001,1
20011113,1,0.1133,1,129,0,1138,2001,1
20011114,1,0.1151,2,131,0,1138,2001,1
20011115,1,0.1247,1,142,0,1138,2001,1
20011116,1,0.1265,1,144,0,1138,2001,1
20011117,1,0.1291,1,147,0,1138,2001,1
20011118,1,0.1318,1,150,0,1138,2001,1
20011119,1,0.1326,1,151,0,1138,2001,1
20011120,1,0.1344,1,153,0,1138,2001,1
20011121,1,0.1353,2,154,0,1138,2001,1
20011122,1,0.1397,5,159,0,1138,2001,1
20011123,1,0.1405,1,160,0,1138,2001,1
20011124,1,0.1414,3,161,0,1138,2001,1
20011125,1,0.1423,1,162,0,1138,2001,1
20011126,1,0.1441,2,164,0,1138,2001,1
20011127,1,0.1458,2,166,0,1138,2001,1
20011128,1,0.1467,3,167,0,1138,2001,1
20011129,1,0.1476,5,168,0,1138,2001,1
20011130,1,0.1485,1,169,0,1138,2001,1
20011131,1,0.1502,1,171,0,1138,2001,1
20011132,1,0.1528,1,174,0,1138,2001,1
20011133,1,0.1546,8,176,0,1138,2001,1
20011134,1,0.159,2,181,0,1138,2001,1
20011135,1,0.1608,4,183,0,1138,2001,1
20011136,1,0.1625,79,185,0,1138,2001,1
20011137,1,0.1652,1,188,0,1138,2001,1
20011138,1,0.166,1,189,0,1138,2001,1
20011139,1,0.1669,1,190,0,1138,2001,1
20011140,1,0.1731,2,197,0,1138,2001,1
20011141,1,0.1766,1,201,0,1138,2001,1
20011142,1,0.1783,2,203,0,1138,2001,1
20011143,1,0.1801,1,205,0,1138,2001,1
20011144,1,0.181,1,206,0,1138,2001,1
20011145,1,0.188,4,214,0,1138,2001,1
20011146,1,0.1942,1,221,0,1138,2001,1
20011147,1,0.1977,1,225,0,1138,2001,1
20011148,1,0.2003,3,228,0,1138,2001,1
20011149,1,0.21,3,239,0,1138,2001,1
20011150,1,0.2108,2,240,0,1138,2001,1
20011151,1,0.2188,6,249,0,1138,2001,1
20011152,1,0.2337,1,266,0,1138,2001,1
20011153,1,0.2381,1,271,0,1138,2001,1
20011154,1,0.2416,1,275,0,1138,2001,1
20011155,1,0.2451,15,279,0,1138,2001,1
20011156,1,0.2478,1,282,0,1138,2001,1
20011157,1,0.2574,4,293,0,1138,2001,1
20011158,1,0.2688,1,306,0,1138,2001,1
20011159,1,0.2803,1,319,0,1138,2001,1
20011160,1,0.2864,1,326,0,1138,2001,1
20011161,1,0.3189,1,363,0,1138,2001,1
20011162,1,0.3506,2,399,0,1138,2001,1
20011163,1,0.3523,1,401,0,1138,2001,1
20011164,1,0.3646,1,415,0,1138,2001,1
20011165,1,0.3866,1,440,0,1138,2001,1
20011166,1,0.4042,1,460,0,1138,2001,1
20011167,1,0.4103,1,467,0,1138,2001,1
20011168,1,0.427,2,486,0,1138,2001,1
20011169,1,0.4279,1,487,0,1138,2001,1
20011170,1,0.4367,1,497,0,1138,2001,1
20011171,1,0.4701,1,535,0,1138,2001,1
20011172,1,0.4903,1,558,0,1138,2001,1
20011173,1,0.4929,1,561,0,1138,2001,1
20011174,1,0.5035,1,573,0,1138,2001,1
20011175,1,0.5386,1,613,0,1138,2001,1
20011176,1,0.6344,1,722,0,1138,2001,1
20011177,1,0.6669,1,759,0,1138,2001,1
20011178,1,1.0193,1,1160,0,1138,2001,1
20011179,1,0.5307,1,604,0,1138,2001,1
20011180,1,0.6221,1,708,0,1138,2001,1
20011181,1,0.1678,1,191,0,1138,2001,1
20011182,1,0.1695,1,193,0,1138,2001,1
20011183,1,0.8128,1,925,0,1138,2001,1
20011184,1,0.1511,3,172,0,1138,2001,1
20011190,1,0.1527,2,201,0,1316,2001,1
20011191,1,0.1679,1,221,0,1316,2001,1
20011192,1,0.2256,1,297,0,1316,2001,1
20011193,1,0.4278,1,563,0,1316,2001,1
20011194,1,0.6564,1,1158,0,1764,2001,1
20011195,0,0.7255,1,944,0,1301,2001,1
20011196,0,0.8754,1,1139,0,1301,2001,1
20011197,0,0.5172,1,673,0,1301,2001,1
20011198,0,0.6033,1,785,0,1301,2001,1
20011199,0,0.0084,1,11,0,1301,2001,1
20011200,1,0.077,1,198,0,2570,2001,1
20011201,1,0,6,0,0,2602,2001,1
20011202,1,0.0695,1,181,0,2602,2001,1
20011203,1,0.0734,3,191,0,2602,2001,1
20011204,1,0.0772,1,201,0,2602,2001,1
20011205,1,0.081,1,211,0,2602,2001,1
20011206,1,0.0841,1,219,0,2602,2001,1
20011207,1,0.0849,1,221,0,2602,2001,1
20011208,1,0.1233,1,321,0,2602,2001,1
20011209,1,0.1352,1,352,0,2602,2001,1
20011210,1,0.1387,3,361,0,2602,2001,1
20011211,1,0.1441,1,375,0,2602,2001,1
20011212,1,0.1529,1,398,0,2602,2001,1
20011213,1,0.1633,1,425,0,2602,2001,1
20011214,1,0.1637,1,426,0,2602,2001,1
20011215,1,0.1779,1,463,0,2602,2001,1
20011216,1,0.1798,1,468,0,2602,2001,1
20011217,1,0.184,1,479,0,2602,2001,1
20011218,1,0.2056,1,535,0,2602,2001,1
20011219,1,0.2394,1,623,0,2602,2001,1
20011220,1,0.2451,1,638,0,2602,2001,1
20011221,1,0.2471,1,643,0,2602,2001,1
20011222,1,0.2913,1,758,0,2602,2001,1
20011223,1,0.3708,1,965,0,2602,2001,1
20011224,1,0.2355,1,613,0,2602,2001,1
20011225,1,0.2578,1,671,0,2602,2001,1
20011226,1,0.234,1,609,0,2602,2001,1
20011227,1,0.1295,1,337,0,2602,2001,1
20011228,1,0.1124,1,364,0,3236,2001,1
20011229,1,0,1,0,0,3025,2001,1
20011230,1,0.3603,1,1090,0,3025,2001,1
20011231,0,0.5944,1,447,0,752,2001,1
20011232,0,0.2353,1,177,0,752,2001,1
20011233,0,0.5279,1,397,0,752,2001,1
20011234,0,0.2659,1,200,0,752,2001,1
20011235,0,0.4773,1,359,0,752,2001,1
20011236,0,0.5385,1,405,0,752,2001,1
20011237,0,0.5944,1,447,0,752,2001,1
20011238,1,0.595,1,895,0,1504,2001,1
20011239,1,0.1003,1,151,0,1504,2001,1
20011240,1,0.1136,1,171,0,1504,2001,1
20011241,1,0.1203,1,181,0,1504,2001,1
20011242,1,0.121,1,182,0,1504,2001,1
20011243,1,0.1236,2,186,0,1504,2001,1
20011244,1,0.1336,1,201,0,1504,2001,1
20011245,1,0.1382,1,208,0,1504,2001,1
20011246,1,0.1429,1,215,0,1504,2001,1
20011247,1,0.1456,1,219,0,1504,2001,1
20011248,1,0.1469,3,221,0,1504,2001,1
20011249,1,0.1575,1,237,0,1504,2001,1
20011250,1,0.1602,2,241,0,1504,2001,1
20011251,1,0.1735,2,261,0,1504,2001,1
20011252,1,0.1934,1,291,0,1504,2001,1
20011253,1,0.1961,1,295,0,1504,2001,1
20011254,1,0.1988,2,299,0,1504,2001,1
20011255,1,0.2081,1,313,0,1504,2001,1
20011256,1,0.2094,1,315,0,1504,2001,1
20011257,1,0.2101,1,316,0,1504,2001,1
20011258,1,0.2107,1,317,0,1504,2001,1
20011259,1,0.2207,2,332,0,1504,2001,1
20011260,1,0.2227,1,335,0,1504,2001,1
20011261,1,0.2247,1,338,0,1504,2001,1
20011262,1,0.23,1,346,0,1504,2001,1
20011263,1,0.5285,1,795,0,1504,2001,1
20011264,1,0.3198,1,481,0,1504,2001,1
20011265,1,0.3656,1,550,0,1504,2001,1
20011266,1,0.2832,1,426,0,1504,2001,1
20011267,1,0.2998,1,451,0,1504,2001,1
20011268,1,0.3065,1,461,0,1504,2001,1
20011269,1,0.4507,1,678,0,1504,2001,1
20011270,0,0.4531,1,1156,0,2551,2001,1
20011271,0,0.1921,1,392,0,2040,2001,1
20011272,1,0,2,0,0,4080,2001,1
20011273,1,0.0495,2,202,0,4080,2001,1
20011274,1,0.0681,1,278,0,4080,2001,1
20011275,1,0.0764,1,312,0,4080,2001,1
20011276,1,0.0999,1,408,0,4080,2001,1
20011277,1,0.1063,1,434,0,4080,2001,1
20011278,1,0.2833,1,1156,0,4080,2001,1
20011279,1,0.1321,1,539,0,4080,2001,1
20011280,1,0,1,0,0,3941,2001,1
20011281,1,0.123,1,485,0,3941,2001,1
20011282,1,0.0449,1,177,0,3941,2001,1
20011283,1,0,1,0,0,2332,2001,1
20011284,1,0.0861,1,201,0,2332,2001,1
20011285,1,0.0917,1,214,0,2332,2001,1
20011286,1,0.0947,1,221,0,2332,2001,1
20011287,1,0.0973,1,227,0,2332,2001,1
20011288,1,0.1033,1,241,0,2332,2001,1
20011289,1,0.1119,1,261,0,2332,2001,1
20011290,1,0.1942,1,453,0,2332,2001,1
20011291,1,0.1758,1,410,0,2332,2001,1
20011300,0,0.0916,1,110,0,1200,2001,1
20011301,1,0.1347,1,313,0,2323,2001,1
20011302,1,0.0612,1,147,0,2400,2001,1
20011303,1,0.0816,1,196,0,2400,2001,1
20011304,1,0.0912,2,219,0,2400,2001,1
20011305,1,0.092,1,221,0,2400,2001,1
20011306,1,0.1004,2,241,0,2400,2001,1
20011307,1,0.1037,1,249,0,2400,2001,1
20011308,1,0.1429,1,343,0,2400,2001,1
20011309,1,0.1504,1,361,0,2400,2001,1
20011310,1,0.3625,1,943,0,2601,2001,1
20011311,0,0.413,1,1238,0,2997,2001,1
20011312,1,0,1,0,0,2688,2001,1
20011313,0,0.3359,1,716,0,2131,2001,1
20011314,0,0,1,0,0,2131,2001,1
20011315,0,0.0455,1,97,0,2131,2001,1
20011316,0,0.258,1,550,0,2131,2001,1
20011317,0,0.3106,1,662,0,2131,2001,1
20011318,0,0.4476,1,954,0,2131,2001,1
20011319,0,0.2918,1,622,0,2131,2001,1
20011320,1,0.0438,1,180,0,4105,2001,1
20011321,1,0.0674,1,277,0,4105,2001,1
20011322,1,0.0677,1,278,0,4105,2001,1
20011323,1,0.0896,1,368,0,4105,2001,1
20011324,1,0.1237,2,508,0,4105,2001,1
20011325,1,0.2117,1,788,0,4284,2001,1
20011326,1,0,2,0,0,4262,2001,1
20011327,1,0.0701,1,299,0,4262,2001,1
20011328,1,0.0725,1,309,0,4262,2001,1
20011329,1,0.0753,4,321,0,4262,2001,1
20011330,1,0.0788,1,336,0,4262,2001,1
20011331,1,0.0847,1,361,0,4262,2001,1
20011332,1,0.1065,1,454,0,4262,2001,1
20011333,1,0.1093,1,466,0,4262,2001,1
20011334,1,0.3003,1,1280,0,4262,2001,1
20011335,1,0.079,1,337,0,4262,2001,1
20011336,1,0.412,1,1756,0,4262,2001,1
20011337,1,0.0961,1,439,0,4568,2001,1
20011338,1,0.0931,1,381,0,4274,2001,1
20011340,1,0.0846,1,296,0,4358,2001,1
20011341,1,0.1103,1,454,0,4116,2001,1
20011350,1,0.1339,1,255,0,1904,2001,1
20011351,1,0.1475,1,281,0,1904,2001,1
20011352,1,0.2043,1,389,0,1904,2001,1
20011353,0,0.5207,1,1029,0,1976,2001,1
20011354,0,0.1847,3,330,0,1786,2001,1
20011355,0,0.3034,1,542,0,1786,2001,1
20011356,1,0,1,0,0,3988,2001,1
20011357,1,0.1496,1,526,0,3546,2001,1
20011358,1,0.2053,1,722,0,3546,2001,1
20011359,1,0.0461,1,165,0,3572,2001,1
20011360,1,0.0585,1,209,0,3572,2001,1
20011361,1,0.059,1,211,0,3572,2001,1
20011362,1,0.0618,3,221,0,3572,2001,1
20011363,1,0.0643,1,230,0,3572,2001,1
20011364,1,0.2304,1,823,0,3572,2001,1
20011365,1,0.1721,1,615,0,3572,2001,1
20011366,1,0.0992,1,370,0,3896,2001,1
20011367,1,0.1392,1,465,0,4126,2001,1
20011368,1,0,1,0,0,3525,2001,1
20011369,1,0.0556,1,196,0,3525,2001,1
20011370,1,0.074,1,261,0,3525,2001,1
20011371,1,0.1143,1,403,0,3525,2001,1
20011372,1,0,1,0,0,3779,2001,1
20011402,1,0.2037,1,619,0,3038,2001,1
20011403,0,0.0584,1,93,0,1590,2001,1
20011404,1,0.1578,1,502,0,3180,2001,1
20011405,1,0.1098,1,161,0,1466,2001,1
20011406,1,0.1493,1,219,0,1466,2001,1
20011407,1,0.457,1,670,0,1466,2001,1
20011408,1,0.2401,1,352,0,1466,2001,1
20011409,1,0.5305,1,1598,0,3012,2001,1
20011410,1,0,1,0,0,3012,2001,1
20011411,1,0.059,1,178,0,3012,2001,1
20011412,1,0.1049,1,316,0,3012,2001,1
20011413,1,0.1122,2,338,0,3012,2001,1
20011414,1,0.1816,1,547,0,3012,2001,1
20011415,1,0.2891,1,871,0,3012,2001,1
20011416,1,0.5308,1,1599,0,3012,2001,1
20011417,0,0.0957,1,335,0,3498,2001,1
20011418,1,0.0838,1,251,0,2992,2001,1
20011419,1,0,1,0,0,2910,2001,1
20011420,1,0.3611,1,1051,0,2910,2001,1
20011421,1,0.1197,2,221,0,1846,2001,1
20011422,1,0.1305,1,241,0,1846,2001,1
20011423,1,0.1793,1,331,0,1846,2001,1
20011424,1,0.0872,1,161,0,1846,2001,1
20011443,0,0.1216,1,168,0,1381,2001,1
20011444,1,0.068,1,188,0,2762,2001,1
20011445,1,0.0716,1,198,0,2762,2001,1
20011446,1,0.1151,1,318,0,2762,2001,1
20011447,1,0.2972,1,821,0,2762,2001,1
20011448,1,0,1,0,0,2788,2001,1
20011449,0,0.0823,1,145,0,1761,2001,1
20011450,0,0.2004,1,353,0,1761,2001,1
20011451,0,0.7109,1,1252,0,1761,2001,1
20011452,0,0.4372,1,770,0,1761,2001,1
20011453,1,0.3647,1,1244,0,3411,2001,1
20011454,1,0.0844,1,288,0,3411,2001,1
20011455,1,0.0873,1,298,0,3411,2001,1
20011456,1,0.099,1,338,0,3411,2001,1
20011457,1,0.1043,1,356,0,3411,2001,1
20011458,1,0.1108,1,378,0,3411,2001,1
20011459,1,0.1216,1,415,0,3411,2001,1
20011460,1,0.1222,2,417,0,3411,2001,1
20011461,1,0.1228,3,419,0,3411,2001,1
20011462,1,0.1245,2,425,0,3411,2001,1
20011463,1,0.1351,1,461,0,3411,2001,1
20011464,1,0.2339,1,798,0,3411,2001,1
20011465,1,0.2574,1,878,0,3411,2001,1
20011466,1,0.1418,1,484,0,3411,2001,1
20011467,1,0.2574,1,878,0,3411,2001,1
20011468,1,0.1673,4,571,0,3411,2001,1
20011469,1,0.1858,1,634,0,3411,2001,1
20011470,1,0.2421,3,826,0,3411,2001,1
20011471,1,0.1518,1,518,0,3411,2001,1
20011472,1,0.0879,1,312,0,3577,2001,1
20011473,1,0.4372,1,1540,0,3522,2001,1
20011474,1,0,2,0,0,3522,2001,1
20011475,1,0.0627,2,221,0,3522,2001,1
20011476,1,0.0706,1,249,0,3522,2001,1
20011477,1,0.0741,1,261,0,3522,2001,1
20011478,1,0.0954,2,336,0,3522,2001,1
20011479,1,0.1056,1,372,0,3522,2001,1
20011480,1,0.1101,1,388,0,3522,2001,1
20011481,1,0.111,1,391,0,3522,2001,1
20011482,1,0.1113,1,392,0,3522,2001,1
20011483,1,0.1135,1,400,0,3522,2001,1
20011484,1,0.1192,2,420,0,3522,2001,1
20011485,1,0.1215,6,428,0,3522,2001,1
20011486,1,0.1232,1,434,0,3522,2001,1
20011487,1,0.1337,1,471,0,3522,2001,1
20011488,1,0.1785,1,629,0,3522,2001,1
20011489,1,0.291,1,1025,0,3522,2001,1
20011490,1,0.2265,1,798,0,3522,2001,1
20011491,1,0.1783,1,628,0,3522,2001,1
20011492,1,0.1621,1,571,0,3522,2001,1
20011493,1,0.17,1,599,0,3522,2001,1
20011494,1,0.2353,3,829,0,3522,2001,1
20011495,1,0.1652,1,582,0,3522,2001,1
20011496,1,0.1479,1,521,0,3522,2001,1
20011497,0,0.3912,1,1371,0,3504,2001,1
20011498,1,0.0999,1,361,0,3826,2001,1
20011499,1,0.4411,1,1540,0,3491,2001,1
20011500,1,0.2145,1,749,0,3491,2001,1
20011501,0,0.7471,1,904,0,1210,2001,1
20011502,1,0.2655,1,538,0,2026,2001,1
20011503,1,0.0758,1,181,0,2386,2001,1
20011504,1,0.1177,1,281,0,2386,2001,1
20011505,0,0.1163,1,181,0,1556,2001,1
20011506,0,0.4556,1,709,0,1556,2001,1
20011507,1,0,1,0,0,3112,2001,1
20011508,1,0.0613,1,191,0,3112,2001,1
20011509,1,0.0716,1,223,0,3112,2001,1
20011510,1,0.0774,1,241,0,3112,2001,1
20011511,1,0.096,1,299,0,3112,2001,1
20011512,1,0.0967,1,301,0,3112,2001,1
20011513,1,0.3518,1,1095,0,3112,2001,1
20011514,1,0.1844,3,574,0,3112,2001,1
20011515,1,0.1857,1,578,0,3112,2001,1
20011516,1,0.6235,1,1479,0,3465,2001,1
20011517,0,0.1205,1,135,0,1120,2001,1
20011518,0,0.1633,1,183,0,1120,2001,1
20011519,0,0.5033,1,977,0,1941,2001,1
20011520,1,0,1,0,0,3746,2001,1
20011521,1,0,1,0,0,3975,2001,1
20011522,1,0,2,0,0,3882,2001,1
20011523,1,0.044,1,171,0,3882,2001,1
20011524,1,0.0448,1,174,0,3882,2001,1
20011525,1,0.062,1,241,0,3882,2001,1
20011526,1,0.0824,1,320,0,3882,2001,1
20011527,1,0.0839,1,326,0,3882,2001,1
20011528,1,0.0888,1,345,0,3882,2001,1
20011529,1,0.0929,2,361,0,3882,2001,1
20011530,1,0.0994,1,386,0,3882,2001,1
20011531,1,0.1017,3,395,0,3882,2001,1
20011532,1,0.1025,1,398,0,3882,2001,1
20011533,1,0.1115,1,433,0,3882,2001,1
20011534,1,0.112,1,435,0,3882,2001,1
20011535,1,0.1133,1,440,0,3882,2001,1
20011536,1,0.1295,1,503,0,3882,2001,1
20011537,1,0.0868,1,337,0,3882,2001,1
20011538,1,0.0618,1,241,0,3916,2001,1
20011539,1,0.1232,1,591,0,4812,2001,1
20011544,1,0,1,0,0,3778,2001,1
20011554,0,0.1481,3,250,0,1688,2001,1
20011555,0,0.1706,1,288,0,1688,2001,1
20011556,1,0,2,0,0,3376,2001,1
20011557,1,0.0035,1,12,0,3376,2001,1
20011558,1,0.0488,1,165,0,3376,2001,1
20011559,1,0.0521,1,176,0,3376,2001,1
20011560,1,0.0536,7,181,0,3376,2001,1
20011561,1,0.0571,1,193,0,3376,2001,1
20011562,1,0.063,2,213,0,3376,2001,1
20011563,1,0.0654,6,221,0,3376,2001,1
20011564,1,0.0684,3,231,0,3376,2001,1
20011565,1,0.0704,1,238,0,3376,2001,1
20011566,1,0.0713,1,241,0,3376,2001,1
20011567,1,0.0779,1,263,0,3376,2001,1
20011568,1,0.0808,1,273,0,3376,2001,1
20011569,1,0.085,1,287,0,3376,2001,1
20011570,1,0.1021,1,345,0,3376,2001,1
20011571,1,0.106,1,358,0,3376,2001,1
20011572,1,0.1069,1,361,0,3376,2001,1
20011573,1,0.1098,1,371,0,3376,2001,1
20011574,1,0.1149,2,388,0,3376,2001,1
20011575,1,0.1217,1,411,0,3376,2001,1
20011576,1,0.1377,1,465,0,3376,2001,1
20011577,1,0.1401,1,473,0,3376,2001,1
20011578,1,0.143,1,483,0,3376,2001,1
20011579,1,0.1466,1,495,0,3376,2001,1
20011580,1,0.1489,1,503,0,3376,2001,1
20011581,1,0,2,0,0,3376,2001,1
20011582,1,0.0675,1,228,0,3376,2001,1
20011583,1,0.1339,1,434,0,3419,2001,1
20011586,1,0.1125,1,631,0,5604,2001,1
20011601,0,0.5339,1,425,0,796,2001,1
20011602,1,0.1074,1,171,0,1592,2001,1
20011603,1,0.2091,1,333,0,1592,2001,1
20011604,1,0.3354,1,534,0,1592,2001,1
20011605,1,0.3793,1,604,0,1592,2001,1
20011606,1,0.4629,1,737,0,1592,2001,1
20011607,0,0.528,1,754,0,1428,2001,1
20011612,1,0.1516,1,215,0,1418,2001,1
20011613,1,0.2496,1,354,0,1418,2001,1
20011614,1,0.1449,1,435,0,3000,2001,1
20011615,1,0.5549,1,1665,0,3000,2001,1
20011620,0,0.2704,1,424,0,1568,2001,1
20011621,1,0.066,1,207,0,3136,2001,1
20011622,1,0.1077,1,338,0,3136,2001,1
20011623,1,0.2324,2,729,0,3136,2001,1
20011624,1,0.0901,1,258,0,2862,2001,1
20011625,1,0.118,1,338,0,2862,2001,1
20011626,1,0.2271,1,650,0,2862,2001,1
20011627,1,0.3508,1,1004,0,2862,2001,1
20011628,1,0.0691,1,198,0,2862,2001,1
20011631,0,0.0771,1,336,0,4353,2001,1
20011632,0,0.0939,1,409,0,4353,2001,1
20011633,1,0,5,0,0,8706,2001,1
20011634,1,0.0606,3,528,0,8706,2001,1
20011635,1,0.077,1,671,0,8706,2001,1
20011636,1,0.0901,1,785,0,8706,2001,1
20011637,1,0.0952,1,829,0,8706,2001,1
20011638,1,0.0979,1,853,0,8706,2001,1
20011639,1,0.101,1,880,0,8706,2001,1
20011640,1,0.111,1,967,0,8706,2001,1
20011641,1,0,1,0,0,9138,2001,1
20011642,1,0.0641,1,580,0,9044,2001,1
20011643,1,0.1061,1,960,0,9044,2001,1
20011644,1,0.113,1,1022,0,9044,2001,1
20011645,1,0.07,1,610,0,8713,2001,1
20011646,1,0.0786,1,685,0,8713,2001,1
20011647,1,0.1713,1,1493,0,8713,2001,1
20011648,1,0,1,0,0,8758,2001,1
20011649,1,0.065,1,580,0,8910,2001,1
20011650,1,0.1235,1,1101,0,8910,2001,1
20011651,1,0,1,0,0,8910,2001,1
20011652,1,0.1095,1,977,0,8917,2001,1
20011653,1,0,1,0,0,8776,2001,1
20011654,1,0.0842,1,739,0,8776,2001,1
20011655,1,0.1213,1,198,0,1632,2001,1
20011656,1,0.1409,1,230,0,1632,2001,1
20011657,1,0.174,2,284,0,1632,2001,1
20011658,1,0,1,0,0,2060,2001,1
20011659,1,0.115,1,237,0,2060,2001,1
20011660,1,0.1356,1,318,0,2344,2001,1
20011661,1,0.1557,1,365,0,2344,2001,1
20011662,1,0.2043,1,479,0,2344,2001,1
20011663,1,0.2244,1,526,0,2344,2001,1
20011664,1,0.232,1,544,0,2344,2001,1
20011665,1,0.2593,1,608,0,2344,2001,1
20011666,1,0.2086,1,489,0,2344,2001,1
20011667,1,0.2798,1,656,0,2344,2001,1
20011668,0,0.4197,1,1014,0,2416,2001,1
20011670,0,0.0786,1,137,0,1741,2001,1
20011671,0,0.0993,1,173,0,1741,2001,1
20011672,0,0.2182,1,380,0,1741,2001,1
20011673,1,0.163,1,571,0,3526,2001,1
